brand,category,link,price,product_name,description,seller,photo,product_id
Tecno,Смартфоны,https://www.ozon.ru/product/smartfon-tecno-pop-5-lte-2-32gb-goluboy-466183024/,10980,"Смартфон Tecno POP 5 LTE 2/32GB, голубой","Тип : Смартфон
Диагональ экрана, дюймы : 6.52
Емкость аккумулятора, мАч : 5000
Процессор : SC9863 (8 ядер), 1.6 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth
Разрешение экрана : 1560x720
Число ядер процессора : 8
Оперативная память : 2 ГБ
Встроенная память : 32 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-b/6228703007.jpg,11
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-note-10-pro-8-128gb-bronza-312607325/,28990,"Смартфон Xiaomi redmi note 10 pro 8/128GB, бронза","Тип : Смартфон
Диагональ экрана, дюймы : 6.67
Емкость аккумулятора, мАч : 5020
Процессор : Snapdragon 732G (8 ядер), 2.3 ГГц
Основной материал корпуса : Стекло, Пластик
Беспроводные интерфейсы : Bluetooth, GPS, NFC, Wi-Fi
Разрешение экрана : 2240х1080
Число ядер процессора : 8
Оперативная память : 8 ГБ
Встроенная память : 128 ГБ
",198245,https://cdn1.ozone.ru/s3/multimedia-8/6209068712.jpg,12
realme,Смартфоны,https://www.ozon.ru/product/smartfon-realme-8-6-128gb-chernyy-257017703/,18990,"Смартфон realme 8 6/128GB, черный","Тип : Смартфон
Диагональ экрана, дюймы : 6.4
Емкость аккумулятора, мАч : 5000
Процессор : Helio G95 (8 ядер), 2.05 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, GPS, NFC, Wi-Fi
Разрешение экрана : 2400x1080
Число ядер процессора : 8
Оперативная память : 6 ГБ
Встроенная память : 128 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-s/6058807396.jpg,13
Poco,Смартфоны,https://www.ozon.ru/product/smartfon-poco-m4-pro-5g-6-128gb-chernyy-428974186/,23654,"Смартфон Poco M4 Pro 5G 6/128GB, черный","Тип : Смартфон
Диагональ экрана, дюймы : 6.6
Емкость аккумулятора, мАч : 5000
Процессор : Dimensity 800 (8 ядер), 2.0 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, GPS, NFC, Wi-Fi, ИК-порт
Разрешение экрана : 2400x1080
Число ядер процессора : 8
Оперативная память : 6 ГБ
Встроенная память : 128 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-2/6179208146.jpg,14
Samsung,Смартфоны,https://www.ozon.ru/product/smartfon-samsung-s22-uitra-16-16gb-chernyy-537581259/,11800,"Смартфон Samsung S22 uitra 16/16GB, черный","Тип : Смартфон
Диагональ экрана, дюймы : 6.0
Емкость аккумулятора, мАч : 6800
Процессор : MT6580 (4 ядра), 1.3 ГГц
Оперативная память : 16 ГБ
Встроенная память : 1 ТБ
Разрешение основной камеры, Мпикс : 64
Гарантийный срок : 0
Операционная система : Android
Партномер : S22
",210203,https://cdn1.ozone.ru/s3/multimedia-n/6281078951.jpg,15
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-9c-4-128gb-fioletovyy-410151334/,17841,"Смартфон Xiaomi Redmi 9C 4/128GB, фиолетовый","Тип : Смартфон
Диагональ экрана, дюймы : 6.53
Емкость аккумулятора, мАч : 5000
Процессор : Helio G35 (8 ядер), 2.3 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, Wi-Fi
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 4 ГБ
Встроенная память : 128 ГБ
",11777,https://cdn1.ozone.ru/s3/multimedia-3/6235150923.jpg,16
Motorola,Смартфоны,https://www.ozon.ru/product/smartfon-motorola-moto-g30-6-128gb-chernyy-305536903/,17801,"Смартфон Motorola Moto G30 6/128GB, черный","Тип : Смартфон
Диагональ экрана, дюймы : 6.5
Емкость аккумулятора, мАч : 5000
Процессор : Snapdragon 662 (8 ядер), 2.0 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : NFC, Wi-Fi, Bluetooth, GPS
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 6 ГБ
Встроенная память : 128 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-2/6088111694.jpg,17
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-10c-4-64gb-seryy-563253731/,16439,"Смартфон Xiaomi Redmi 10C 4/64GB, серый","Тип : Смартфон
Диагональ экрана, дюймы : 6.71
Емкость аккумулятора, мАч : 5000
Процессор : Snapdragon 680 (8 ядер), 2.4 ГГц
Основной материал корпуса : Пластик, Стекло
Беспроводные интерфейсы : Bluetooth, GPS, NFC, Wi-Fi
Разрешение экрана : 1920x1080
Число ядер процессора : 8
Оперативная память : 4 ГБ
Встроенная память : 64 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-r/6303295491.jpg,18
realme,Смартфоны,https://www.ozon.ru/product/smartfon-realme-c11-2021-2-32gb-seryy-2-32gb-goluboy-257017712/,8399,"Смартфон realme C11 2021 2/32Gb серый 2/32GB, голубой","Тип : Смартфон
Диагональ экрана, дюймы : 6.5
Емкость аккумулятора, мАч : 5000
Процессор : SC9863A (8 ядер), 1.6 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, Wi-Fi
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 2 ГБ
Встроенная память : 32 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-c/6058807488.jpg,19
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-9a-2-32gb-seryy-186772234/,12622,"Смартфон Xiaomi Redmi 9A 2/32GB, серый","Тип : Смартфон
Диагональ экрана, дюймы : 6.53
Емкость аккумулятора, мАч : 5000
Процессор : Helio G25 (8 ядер), 2.0 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Wi-Fi, Bluetooth
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 2 ГБ
Встроенная память : 32 ГБ
",11777,https://cdn1.ozone.ru/s3/multimedia-1/6235142425.jpg,20
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-9c-2-32gb-cherno-seryy-187686359/,13591,"Смартфон Xiaomi Redmi 9C 2/32GB, черно-серый","Тип : Смартфон
Диагональ экрана, дюймы : 6.53
Емкость аккумулятора, мАч : 5000
Процессор : Helio G35 (8 ядер), 2.3 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, Wi-Fi
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 2 ГБ
Встроенная память : 32 ГБ
",11777,https://cdn1.ozone.ru/s3/multimedia-c/6020742312.jpg,21
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-11-lite-5g-ne-6-128gb-goluboy-356325665/,26980,"Смартфон Xiaomi 11 Lite 5G NE 6/128GB, голубой","Тип : Смартфон
Диагональ экрана, дюймы : 6.55
Емкость аккумулятора, мАч : 4250
Процессор : Snapdragon 778G (8 ядер), 2.4 ГГц
Основной материал корпуса : Пластик, Стекло
Беспроводные интерфейсы : GPS, Bluetooth, Wi-Fi, ИК-порт, NFC
Разрешение экрана : 2400x1080
Число ядер процессора : 8
Оперативная память : 8 ГБ
Встроенная память : 128 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-h/6129266261.jpg,22
Apple,Смартфоны,https://www.ozon.ru/product/smartfon-apple-iphone-12-256gb-chernyy-299376628/,79980,"Смартфон Apple iPhone 12 256GB, черный","Диагональ экрана, дюймы : 6.1
Тип : Смартфон
Оперативная память : 4 ГБ
Встроенная память : 256 ГБ
Разрешение основной камеры, Мпикс : 12
Процессор : A14 Bionic (6 ядер), 2.66 ГГц
Беспроводные интерфейсы : GPS, Wi-Fi, NFC, Bluetooth
Стандарты связи : 5G, 2G, 3G, LTE
Разрешение экрана : 2532x1170
Емкость аккумулятора, мАч : 2815
",180789,https://cdn1.ozone.ru/s3/multimedia-t/6046799525.jpg,23
Poco,Смартфоны,https://www.ozon.ru/product/smartfon-poco-f3-8-256gb-chernyy-257347466/,30543,"Смартфон Poco F3 8/256GB, черный","Тип : Смартфон
Диагональ экрана, дюймы : 6.67
Емкость аккумулятора, мАч : 4520
Процессор : Snapdragon 870 (8 ядер), 3.2 ГГц
Основной материал корпуса : Стекло
Беспроводные интерфейсы : Bluetooth, NFC, Wi-Fi, ИК-порт, GPS
Разрешение экрана : 2400x1080
Число ядер процессора : 8
Оперативная память : 8 ГБ
Встроенная память : 256 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-e/6059122994.jpg,24
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-9c-4-128gb-oranzhevyy-567618888/,14990,"Смартфон Xiaomi Redmi 9C 4/128GB, оранжевый","Тип : Смартфон
Диагональ экрана, дюймы : 6.53
Емкость аккумулятора, мАч : 5000
Процессор : Helio G35 (8 ядер), 2.3 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Wi-Fi, NFC, Bluetooth
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 4 ГБ
Встроенная память : 128 ГБ
",198245,https://cdn1.ozone.ru/s3/multimedia-e/6308459894.jpg,25
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-9c-4-128gb-chernyy-337518112/,17841,"Смартфон Xiaomi Redmi 9C 4/128GB, черный","Тип : Смартфон
Диагональ экрана, дюймы : 6.53
Емкость аккумулятора, мАч : 5000
Процессор : Helio G35 (8 ядер), 2.3 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, Wi-Fi
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 4 ГБ
Встроенная память : 128 ГБ
",11777,https://cdn1.ozone.ru/s3/multimedia-y/6109260178.jpg,26
